de prijs,price
het probleem,problem
het procent,per cent
het proces,process
produceren,to produce
het product,product
de productie,production
het programma,program
het project,project
de provincie,province
de psychologie,psychology
psychologisch,psychological
de psycholoog,psychologist
publiceren,to publish
de raad,advice
het raam,window
de radio,radio
de rand,edge
de reactie,reaction
realiseren,to realize
recht,straight
de rechter,judge
redelijk,"reasonable, reasonably"
de reden,reason
de reeks,series
de regel,rule
de regeling,regulation
de regering,government
de reis,"trip, journey"
reizen,to travel
de rekening,bill
de relatie,relationship
relatief,relatively
rennen,To run
de rest,rest
het restaurant,restaurant
het resultaat,result
richting,towards
de rij,queue
rijden,to drive
rijk,rich
"rijk, arm","rich, poor"
het risico,risk
de rivier,river
de rol,role
rond,round
rood,red
de rook,smoke
rug,back
ruiken,to smell
ruim,spacious
de ruimte,space
de rust,"peace, calm"
rusten,to rest
rustig,quiet
samen,together
de samenleving,society
samenwerken,to cooperate
de samenwerking,cooperation
samenwonen,to live together
de schade,damage
de schaduw,shadow
de schoen,shoe
de school,school
schoon,clean
"schoon, vies","clean, dirty"
schoonmaken,to clean
de schouder,shoulder
schrijven,to write
de schrijver,writer
de schuld,debt
de seconde,second (time)
de sector,sector
serieus,serious
de sfeer,ambiance
de sigaret,cigarette
sinds,since
de slaap,sleep
de slaapkamer,bedroom
de slag,battle
slapen,to sleep
slecht,bad
de sleutel,key
het slot,key lock
sluiten,to close
de smaak,taste
smal,narrow
"smal, breed","narrow, wide"
de sneeuw,snow
snel,fast
de snelheid,speed
sociaal,social
de soldaat,soldier
sommige,some
soms,sometimes
het soort,kind
de spanning,"tension, stress"
speciaal,special
specifiek,specific
het spel,game
spelen,to play
de spiegel,mirror
het spoor,track
spreken,to speak
staan,to stand
de staat,state
de stad,city
de stap,step
stappen,to step
het station,station
de steen,stone
de stem,voice
de ster,star
sterk,strong
"sterk, zwak","strong, weak"
stijf,stiff
stijgen,to rise
de stijl,style
stil,quiet
de stilte,silence
de stoel,chair
de stoel,chair
de stof,dust
stoppen,to stop
de straat,street
de straf,punishment
strak,tight
het strand,beach
de streek,region
strekken,to stretch
streng,strict
de stroom,flow
de structuur,structure
de student,student
studeren,to study
de studie,study
het stuk,piece
sturen,to send
het stuur,steering wheel
het succes,good luck
de suiker,sugar
het symbool,symbol
het systeem,system
de taal,language
de tafel,table
de tak,branch
de tand,tooth
de tante,aunt
te,too
de techniek,technic
technisch,technical
tegen,against
tegenkomen,"to come across (somebody), walk into (somebody)"
tegenover,opposite
de tegenstander,opponent
de tegenstelling,contrary
de tekst,text
de telefoon,phone
de televisie,television
tenminste,at least
tenslotte,finally
de term,term
het terras,terrace
het terrein,terrain
terug,back
terugkomen,to come back
terwijl,while
tevreden,satisfied
de thee,tea
theoretisch,theoretically
de theorie,theory
thuis,at home
tien,ten
de tijd,time
het tijdschrift,magazine
de titel,title
toch,however
de tocht,tour
de toekomst,future
toekomstig,future
toen,then (past)
toevallig,coincidentally
de tong,tongue
de top,top
tot,until
totaal,total
de traan,tear
de traditie,tradition
traditioneel,traditional
de trap,stairs
de trein,train
de troep,mess
de trots,pride
trouwen,to marry
trouwens,"besides, by the way"
tussen,in between
twee,two
de twijfel,doubt
typisch,typical
u,"you (single, formal)"
de uitdrukking,expression
uiteindelijk,in the end
uitgaan,to go out
uitleggen,to explain
uitsluitend,exclusively
de uitspraak,pronunciation
uitstappen,to get off
uitstekend,excellent
de uitzondering,exception
de universiteit,university
het uur,hour
vaak,often
de vader,father
het vak,"field, subject"
vallen,to fall
van,"from, of"
vandaag,today
vanuit,from
vast,fixed
vechten,to fight
veel,many
"veel, weinig","much, little"
veilig,safe
